Question,1,2,3,4,5
010,61,0,0,0,0
023,79,0,0,0,0
024,78,0,0,0,0
030,90,0,0,0,0
038,80,0,0,0,0
043,76,0,0,0,0
045,74,0,0,0,0
047,40,0,0,0,0
051,77,0,0,0,0
052,64,0,0,0,0
054,20,0,0,0,0
057,14,0,0,0,0
060,13,0,0,0,0
071,17,0,0,0,0
073,14,0,0,0,0
081,2,0,0,0,0
083,11,0,0,0,0
091,0,0,0,0,7
094,0,0,0,0,5
101,0,0,0,0,63
103,0,0,0,0,47
104,0,0,0,0,36
105,0,0,0,0,6
106,0,0,0,0,18
107,0,0,0,0,15
108,0,0,0,0,23
110,0,0,0,0,17
111,0,0,0,0,35
112,0,0,0,0,46
113,0,0,0,0,24
114,0,0,0,0,16
115,0,0,0,0,16
116,0,0,0,0,25
117,0,0,0,0,19
118,0,0,0,0,16
119,0,0,0,0,20
120,0,0,0,0,12
121,0,0,0,0,40
122,0,0,0,0,8
123,0,0,0,0,25
124,0,0,0,0,24
125,0,0,0,0,32
126,0,0,0,0,46
127,0,0,0,0,8
128,1,0,0,0,0
129,0,0,0,0,3
